file_name;predicted;true;cv_step;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_2.wav;firefighter;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_3.wav;police;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_4.wav;police;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_5.wav;nosirens;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_6.wav;police;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_7.wav;nosirens;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_8.wav;nosirens;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_9.wav;nosirens;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/fr_a_10.wav;nosirens;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/ge_a_1.wav;police;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/ge_a_3.wav;firefighter;ambulance;1;
/mnt/IDMT-WORKSPACE/DATA-STORE/rodrjl/DATABASE/test-RSCD-EU-sirentype/ambulance/ge_a_4.wav;police;ambulance;1;
